num,subject,relation,object
1233,高云翔,夫妻,董璇
1233,高云翔,拍档,蒲冰墨
1234,巩新亮,绯闻,郎朗
1235,吴大维,旧爱,孟广美
1235,吴大维,绯闻,赵薇
1235,吴大维,旧爱,林熙蕾
1236,张云雷,师徒,郭德纲
1237,张继聪,夫妻,谢安琪
1238,朴海镇,绯闻,朴信惠
1239,江语晨,绯闻,周杰伦
1240,赵涛,夫妻,贾樟柯
1241,倪妮,情侣,冯绍峰
1242,车晓,母女,王丽云
1242,车晓,同学,关悦
1243,郭涛,同学,夏力薪
1244,李易峰,好友,乔任梁
1244,李易峰,好友,马天宇
1245,沈春阳,夫妻,小沈阳
1246,白歆惠,绯闻,明道
1247,陈坤,好友,桂纶镁
1247,陈坤,好友,郝蕾
1247,陈坤,好友,赵子琪
1247,陈坤,好友,赵薇
1247,陈坤,好友,周迅
1247,陈坤,好友,黄晓明
1247,陈坤,同学,孔维
1247,陈坤,同学,何琳
1247,陈坤,拍档,焦俊艳
1247,陈坤,同学,张恒
1247,陈坤,同学,颜丹晨
1247,陈坤,同学,许还幻
1247,陈坤,拍档,蒲冰墨
1247,陈坤,同学,祖峰
1248,汪妤凌,师徒,那英
1249,章小蕙,前任夫妻,钟镇涛
1250,曾轶可,好友,姜潮
1250,曾轶可,好友,谈莉娜
1251,李宇春,好友,林俊杰
1251,李宇春,好友,苏见信
1251,李宇春,好友,何洁
1251,李宇春,好友,黄晓明
1252,黄琦雯,师徒,李双江
1252,黄琦雯,情侣,任泉
1253,张震岳,拍档,周华健
1253,张震岳,拍档,罗大佑
1253,张震岳,旧爱,路嘉怡
1254,北川景子,绯闻,山下智久
1255,岛谷瞳,密友,仲间由纪惠
1256,林赛·罗韩,绯闻,裘德·洛
1256,林赛·罗韩,密友,艾希莉·辛普森
1256,林赛·罗韩,密友,帕丽斯·希尔顿
1257,滨崎步,旧爱,长濑智也
1258,柯蓝,绯闻,黄志忠
1258,柯蓝,旧爱,李泉
1258,柯蓝,拍档,王笛
1258,柯蓝,拍档,夏凡
1259,张致恒,拍档,陈伟霆
1259,张致恒,好友,梁洛施
1259,张致恒,拍档,关智斌
1260,孙艺珍,绯闻,宋承宪
1261,杨若兮,旧爱,刘威
1261,杨若兮,夫妻,连奕名
1262,章泽天,夫妻,刘强东
1263,朴诗妍,好友,李多海
1263,朴诗妍,好友,朴容夏
